"Figure 1: GDP fell by 2.6% in November 2020 as government restrictions reduced economic activity",""
"Monthly index, January 2007 until November 2020, 2018 = 100",""
"",""
"Notes",""
"Unit","Monthly index, 2018 = 100"
"",""
"","Monthly GDP"
"Jan 07","86.6"
"Feb 07","87"
"Mar 07","87.3"
"Apr 07","87.3"
"May 07","87.4"
"Jun 07","87.6"
"Jul 07","87.8"
"Aug 07","88.3"
"Sep 07","88.6"
"Oct 07","88.4"
"Nov 07","88.9"
"Dec 07","89.3"
"Jan 08","89.4"
"Feb 08","89.7"
"Mar 08","88.9"
"Apr 08","89.5"
"May 08","88.6"
"Jun 08","88.4"
"Jul 08","87.7"
"Aug 08","87.5"
"Sep 08","86.7"
"Oct 08","86"
"Nov 08","85.3"
"Dec 08","85.2"
"Jan 09","84.6"
"Feb 09","84.3"
"Mar 09","83.4"
"Apr 09","84.5"
"May 09","83.6"
"Jun 09","83.8"
"Jul 09","84.4"
"Aug 09","83.9"
"Sep 09","84.2"
"Oct 09","84.3"
"Nov 09","84.3"
"Dec 09","84.7"
"Jan 10","84.1"
"Feb 10","85.2"
"Mar 10","85.8"
"Apr 10","85.8"
"May 10","86.1"
"Jun 10","86.3"
"Jul 10","86.6"
"Aug 10","86.8"
"Sep 10","86.9"
"Oct 10","87.1"
"Nov 10","87"
"Dec 10","86.2"
"Jan 11","86.7"
"Feb 11","87.1"
"Mar 11","87.6"
"Apr 11","86.8"
"May 11","87.6"
"Jun 11","87.5"
"Jul 11","87.8"
"Aug 11","87.5"
"Sep 11","87.6"
"Oct 11","87.2"
"Nov 11","88.1"
"Dec 11","88.3"
"Jan 12","88.4"
"Feb 12","88.1"
"Mar 12","88.4"
"Apr 12","88"
"May 12","89"
"Jun 12","87.6"
"Jul 12","89.2"
"Aug 12","89.7"
"Sep 12","88.8"
"Oct 12","89.2"
"Nov 12","89.3"
"Dec 12","89.1"
"Jan 13","89.3"
"Feb 13","89.9"
"Mar 13","89.8"
"Apr 13","90"
"May 13","90.4"
"Jun 13","90.6"
"Jul 13","90.9"
"Aug 13","91.2"
"Sep 13","91.2"
"Oct 13","91.8"
"Nov 13","91.8"
"Dec 13","91.6"
"Jan 14","92"
"Feb 14","92.4"
"Mar 14","92.9"
"Apr 14","92.8"
"May 14","93.1"
"Jun 14","93.3"
"Jul 14","93.6"
"Aug 14","93.6"
"Sep 14","93.8"
"Oct 14","94.1"
"Nov 14","94.2"
"Dec 14","94.3"
"Jan 15","94.4"
"Feb 15","94.6"
"Mar 15","94.8"
"Apr 15","95.3"
"May 15","95.2"
"Jun 15","95.3"
"Jul 15","95.7"
"Aug 15","95.4"
"Sep 15","95.7"
"Oct 15","96.1"
"Nov 15","96.1"
"Dec 15","96.3"
"Jan 16","96.3"
"Feb 16","96.6"
"Mar 16","96.4"
"Apr 16","97"
"May 16","96.7"
"Jun 16","96.8"
"Jul 16","96.9"
"Aug 16","97"
"Sep 16","97.3"
"Oct 16","97.3"
"Nov 16","97.5"
"Dec 16","98"
"Jan 17","98.2"
"Feb 17","98"
"Mar 17","98.1"
"Apr 17","98.2"
"May 17","98.5"
"Jun 17","98.6"
"Jul 17","98.7"
"Aug 17","98.9"
"Sep 17","99.1"
"Oct 17","99"
"Nov 17","99.3"
"Dec 17","99.4"
"Jan 18","99.5"
"Feb 18","99.3"
"Mar 18","99.2"
"Apr 18","99.4"
"May 18","99.7"
"Jun 18","99.9"
"Jul 18","100.3"
"Aug 18","100.4"
"Sep 18","100.4"
"Oct 18","100.7"
"Nov 18","100.8"
"Dec 18","100.5"
"Jan 19","101"
"Feb 19","101.3"
"Mar 19","101.4"
"Apr 19","101"
"May 19","101.2"
"Jun 19","101.4"
"Jul 19","101.7"
"Aug 19","101.6"
"Sep 19","101.6"
"Oct 19","101.9"
"Nov 19","101.5"
"Dec 19","101.5"
"Jan 20","101.5"
"Feb 20","101.2"
"Mar 20","93.8"
"Apr 20","76.1"
"May 20","78.6"
"Jun 20","85.9"
"Jul 20","91.5"
"Aug 20","93.4"
"Sep 20","94.4"
"Oct 20","95"
"Nov 20","92.5"
